shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
237155.12237155,49.2270846,7.0207438,0
237155.12237155,49.2257493,7.0355784,1
237155.12237155,49.2375428,7.0561765,2
237155.12237155,49.2547174,7.0403373,3
237155.12237155,49.276422,7.0329183,4
237155.13237155,49.2270846,7.0207438,0
237155.13237155,49.2257493,7.0355784,1
237155.13237155,49.2375428,7.0561765,2
237155.13237155,49.2547174,7.0403373,3
237155.13237155,49.276422,7.0329183,4
237155.14237155,49.2270846,7.0207438,0
237155.14237155,49.2257493,7.0355784,1
237155.14237155,49.2375428,7.0561765,2
237155.14237155,49.2547174,7.0403373,3
237155.14237155,49.276422,7.0329183,4
237155.15237155,49.2270846,7.0207438,0
237155.15237155,49.2257493,7.0355784,1
237155.15237155,49.2375428,7.0561765,2
237155.15237155,49.2547174,7.0403373,3
237155.15237155,49.276422,7.0329183,4
237155.16237155,49.2270846,7.0207438,0
237155.16237155,49.2257493,7.0355784,1
237155.16237155,49.2375428,7.0561765,2
237155.16237155,49.2547174,7.0403373,3
237155.16237155,49.276422,7.0329183,4
237155.17237155,49.2270846,7.0207438,0
237155.17237155,49.2257493,7.0355784,1
237155.17237155,49.2375428,7.0561765,2
237155.17237155,49.2547174,7.0403373,3
237155.17237155,49.276422,7.0329183,4
237155.18237155,49.2270846,7.0207438,0
237155.18237155,49.2257493,7.0355784,1
237155.18237155,49.2375428,7.0561765,2
237155.18237155,49.2547174,7.0403373,3
237155.18237155,49.276422,7.0329183,4
237155.19237155,49.2270846,7.0207438,0
237155.19237155,49.2257493,7.0355784,1
237155.19237155,49.2375428,7.0561765,2
237155.19237155,49.2547174,7.0403373,3
237155.19237155,49.276422,7.0329183,4
237155.110237155,49.2270846,7.0207438,0
237155.110237155,49.2257493,7.0355784,1
237155.110237155,49.2375428,7.0561765,2
237155.110237155,49.2547174,7.0403373,3
237155.110237155,49.276422,7.0329183,4
237155.111237155,49.2270846,7.0207438,0
237155.111237155,49.2257493,7.0355784,1
237155.111237155,49.2375428,7.0561765,2
237155.111237155,49.2547174,7.0403373,3
237155.111237155,49.276422,7.0329183,4
237155.112237155,49.2270846,7.0207438,0
237155.112237155,49.2257493,7.0355784,1
237155.112237155,49.2375428,7.0561765,2
237155.112237155,49.2547174,7.0403373,3
237155.112237155,49.276422,7.0329183,4
237155.113237155,49.2270846,7.0207438,0
237155.113237155,49.2257493,7.0355784,1
237155.113237155,49.2375428,7.0561765,2
237155.113237155,49.2547174,7.0403373,3
237155.113237155,49.276422,7.0329183,4
237155.114237155,49.2270846,7.0207438,0
237155.114237155,49.2257493,7.0355784,1
237155.114237155,49.2375428,7.0561765,2
237155.114237155,49.2547174,7.0403373,3
237155.114237155,49.276422,7.0329183,4
237155.115237155,49.2270846,7.0207438,0
237155.115237155,49.2257493,7.0355784,1
237155.115237155,49.2375428,7.0561765,2
237155.115237155,49.2547174,7.0403373,3
237155.115237155,49.276422,7.0329183,4
237155.116237155,49.2270846,7.0207438,0
237155.116237155,49.2257493,7.0355784,1
237155.116237155,49.2375428,7.0561765,2
237155.116237155,49.2547174,7.0403373,3
237155.116237155,49.276422,7.0329183,4
237155.117237155,49.2270846,7.0207438,0
237155.117237155,49.2257493,7.0355784,1
237155.117237155,49.2375428,7.0561765,2
237155.117237155,49.2547174,7.0403373,3
237155.117237155,49.276422,7.0329183,4
237155.118237155,49.2270846,7.0207438,0
237155.118237155,49.2257493,7.0355784,1
237155.118237155,49.2375428,7.0561765,2
237155.118237155,49.2547174,7.0403373,3
237155.118237155,49.276422,7.0329183,4
237155.119237155,49.2270846,7.0207438,0
237155.119237155,49.2257493,7.0355784,1
237155.119237155,49.2375428,7.0561765,2
237155.119237155,49.2547174,7.0403373,3
237155.119237155,49.276422,7.0329183,4
237155.120237155,49.2270846,7.0207438,0
237155.120237155,49.2257493,7.0355784,1
237155.120237155,49.2375428,7.0561765,2
237155.120237155,49.2547174,7.0403373,3
237155.120237155,49.276422,7.0329183,4
237155.121237155,49.2270846,7.0207438,0
237155.121237155,49.2257493,7.0355784,1
237155.121237155,49.2375428,7.0561765,2
237155.121237155,49.2547174,7.0403373,3
237155.121237155,49.276422,7.0329183,4
237155.122237155,49.2270846,7.0207438,0
237155.122237155,49.2257493,7.0355784,1
237155.122237155,49.2375428,7.0561765,2
237155.122237155,49.2547174,7.0403373,3
237155.122237155,49.276422,7.0329183,4
237155.123237155,49.2270846,7.0207438,0
237155.123237155,49.2257493,7.0355784,1
237155.123237155,49.2375428,7.0561765,2
237155.123237155,49.2547174,7.0403373,3
237155.123237155,49.276422,7.0329183,4
237155.124237155,49.2270846,7.0207438,0
237155.124237155,49.2257493,7.0355784,1
237155.124237155,49.2375428,7.0561765,2
237155.124237155,49.2547174,7.0403373,3
237155.124237155,49.276422,7.0329183,4
237155.125237155,49.2270846,7.0207438,0
237155.125237155,49.2257493,7.0355784,1
237155.125237155,49.2375428,7.0561765,2
237155.125237155,49.2547174,7.0403373,3
237155.125237155,49.276422,7.0329183,4
237155.126237155,49.2270846,7.0207438,0
237155.126237155,49.2257493,7.0355784,1
237155.126237155,49.2375428,7.0561765,2
237155.126237155,49.2547174,7.0403373,3
237155.126237155,49.276422,7.0329183,4
237155.127237155,49.2270846,7.0207438,0
237155.127237155,49.2257493,7.0355784,1
237155.127237155,49.2375428,7.0561765,2
237155.127237155,49.2547174,7.0403373,3
237155.127237155,49.276422,7.0329183,4
237155.128237155,49.2270846,7.0207438,0
237155.128237155,49.2257493,7.0355784,1
237155.128237155,49.2375428,7.0561765,2
237155.128237155,49.2547174,7.0403373,3
237155.128237155,49.276422,7.0329183,4
237155.129237155,49.2270846,7.0207438,0
237155.129237155,49.2257493,7.0355784,1
237155.129237155,49.2375428,7.0561765,2
237155.129237155,49.2547174,7.0403373,3
237155.129237155,49.276422,7.0329183,4
237155.130237155,49.2270846,7.0207438,0
237155.130237155,49.2257493,7.0355784,1
237155.130237155,49.2375428,7.0561765,2
